strain,lum_NAD,lum_NADH,OD,replicate
cyoA,160084,120713,0.262899995,a
cyoA,105716,17619,0.208800003,b
cyoA,104005,19725,0.200800002,c
atpB,117440,16061,0.174500003,a
atpB,151042,24334,0.2148,b
atpB,175173,30554,0.206799999,c
sdhB,118271,12946,0.195999995,a
sdhB,103855,13367,0.219799995,b
sdhB,141209,15113,0.211400002,c
nuoB,161432,92846,0.260199994,a
nuoB,151858,59842,0.261200011,b
nuoB,178862,78827,0.274899989,c
non-targeting,138935,58650,0.240899995,a
non-targeting,173471,73253,0.298900008,b
non-targeting,206917,101450,0.295100003,c
blank,2666,1928,0.087300003,a
blank,2332,1836,0.086999997,b
blank,2272,1568,0.087399997,c
