Well,sJMP,Knockdown,Isolate,OD
B2,4324,nontargeting control,1,0.181700006
B3,4410,cyoA,1,0.173700005
B4,4412,atpB,1,0.194399998
B5,4433,sdhB,1,0.196099997
B6,4435,nuoB,1,0.194499999
B7,NA,media only control,1,0.046700001
C2,4324,nontargeting control,2,0.194399998
C3,4410,cyoA,2,0.153699994
C4,4412,atpB,2,0.181099996
C5,4433,sdhB,2,0.173199996
C6,4435,nuoB,2,0.185399994
C7,NA,media only control,2,0.0429
D2,4324,nontargeting control,3,0.172999993
D3,4410,cyoA,3,0.176799998
D4,4412,atpB,3,0.172499999
D5,4433,sdhB,3,0.176599994
D6,4435,nuoB,3,0.184799999
D7,NA,media only control,3,0.0447
E2,4324,nontargeting control,4,0.187000006
E3,4410,cyoA,4,0.1435
E4,4412,atpB,4,0.1655
E5,4433,sdhB,4,0.179399997
E6,4435,nuoB,4,0.174799994
E7,NA,media only control,4,0.041499998
