"","condition"
"1","2AbJT3"
"2","2AbJT3"
"3","2AbJT3"
"4","2AbJT4"
"5","2AbJT4"
"6","2AbJT4"
"7","2AbJT7"
"8","2AbJT7"
"9","2AbJT7"
"10","2AbJT8"
"11","2AbJT8"
"12","2AbJT8"
"13","2AbJT9"
"14","2AbJT9"
"15","2AbJT9"
"16","2AbJT10"
"17","2AbJT10"
"18","2AbJT10"
"19","2AbJT11"
"20","2AbJT11"
"21","2AbJT11"
"22","2AbJT12"
"23","2AbJT12"
"24","2AbJT12"
"25","2AbJT17"
"26","2AbJT17"
"27","2AbJT17"
"28","2AbJT18"
"29","2AbJT18"
"30","2AbJT18"
"31","2AbJT19"
"32","2AbJT19"
"33","2AbJT19"
"34","2AbJT20"
"35","2AbJT20"
"36","2AbJT20"
"37","2AbJT21"
"38","2AbJT21"
"39","2AbJT21"
"40","2AbJT22"
"41","2AbJT22"
"42","2AbJT22"
"43","2AbJT23"
"44","2AbJT23"
"45","2AbJT23"
"46","2AbJT24"
"47","2AbJT24"
"48","2AbJT24"
"49","2AbJT27"
"50","2AbJT27"
"51","2AbJT27"
"52","2AbJT28"
"53","2AbJT28"
"54","2AbJT28"
"55","2AbJT29"
"56","2AbJT29"
"57","2AbJT29"
"58","2AbJT30"
"59","2AbJT30"
"60","2AbJT30"
"61","3AbJT5"
"62","3AbJT5"
"63","3AbJT5"
"64","3AbJT6"
"65","3AbJT6"
"66","3AbJT6"
"67","3AbJT7"
"68","3AbJT7"
"69","3AbJT7"
"70","3AbJT8"
"71","3AbJT8"
"72","3AbJT8"
"73","3AbJT9"
"74","3AbJT9"
"75","3AbJT9"
"76","3AbJT10"
"77","3AbJT10"
"78","3AbJT10"
"79","3AbJT11"
"80","3AbJT11"
"81","3AbJT11"
"82","3AbJT12"
"83","3AbJT12"
"84","3AbJT12"
"85","3AbJT13"
"86","3AbJT13"
"87","3AbJT13"
"88","3AbJT14"
"89","3AbJT14"
"90","3AbJT14"
"91","3AbJT17"
"92","3AbJT17"
"93","3AbJT17"
"94","3AbJT18"
"95","3AbJT18"
"96","3AbJT18"
"97","3AbJT19"
"98","3AbJT19"
"99","3AbJT19"
"100","3AbJT20"
"101","3AbJT20"
"102","3AbJT20"
"103","3AbJT21"
"104","3AbJT21"
"105","3AbJT21"
"106","3AbJT22"
"107","3AbJT22"
"108","3AbJT22"
"109","3AbJT23"
"110","3AbJT23"
"111","3AbJT23"
"112","3AbJT24"
"113","3AbJT24"
"114","3AbJT24"
"115","3AbJT25"
"116","3AbJT25"
"117","3AbJT25"
"118","3AbJT26"
"119","3AbJT26"
"120","3AbJT26"
"121","3AbJT27"
"122","3AbJT27"
"123","3AbJT27"
"124","3AbJT28"
"125","3AbJT28"
"126","3AbJT28"
"127","3AbJT31"
"128","3AbJT31"
"129","3AbJT31"
"130","3AbJT32"
"131","3AbJT32"
"132","3AbJT32"
"133","3AbJT35"
"134","3AbJT35"
"135","3AbJT35"
"136","3AbJT36"
"137","3AbJT36"
"138","3AbJT36"
"139","3AbJT41"
"140","3AbJT41"
"141","3AbJT41"
"142","3AbJT42"
"143","3AbJT42"
"144","3AbJT42"
"145","3AbJT45"
"146","3AbJT45"
"147","3AbJT45"
"148","3AbJT46"
"149","3AbJT46"
"150","3AbJT46"
"151","3AbJT47"
"152","3AbJT47"
"153","3AbJT47"
"154","3AbJT48"
"155","3AbJT48"
"156","3AbJT48"
"157","3AbJT51"
"158","3AbJT51"
"159","3AbJT51"
"160","3AbJT52"
"161","3AbJT52"
"162","3AbJT52"
"163","3AbJT53"
"164","3AbJT53"
"165","3AbJT53"
"166","3AbJT54"
"167","3AbJT54"
"168","3AbJT54"
"169","3AbJT57"
"170","3AbJT57"
"171","3AbJT57"
"172","3AbJT58"
"173","3AbJT58"
"174","3AbJT58"
"175","4AbJT3"
"176","4AbJT3"
"177","4AbJT3"
"178","4AbJT4"
"179","4AbJT4"
"180","4AbJT4"
"181","4AbJT5"
"182","4AbJT5"
"183","4AbJT5"
"184","4AbJT6"
"185","4AbJT6"
"186","4AbJT6"
"187","4AbJT7"
"188","4AbJT7"
"189","4AbJT7"
"190","4AbJT8"
"191","4AbJT8"
"192","4AbJT8"
"193","4AbJT11"
"194","4AbJT11"
"195","4AbJT11"
"196","4AbJT12"
"197","4AbJT12"
"198","4AbJT12"
"199","4AbJT17"
"200","4AbJT17"
"201","4AbJT17"
"202","4AbJT18"
"203","4AbJT18"
"204","4AbJT18"
"205","4AbJT19"
"206","4AbJT19"
"207","4AbJT19"
"208","4AbJT20"
"209","4AbJT20"
"210","4AbJT20"
"211","4AbJT23"
"212","4AbJT23"
"213","4AbJT23"
"214","4AbJT24"
"215","4AbJT24"
"216","4AbJT24"
"217","4AbJT25"
"218","4AbJT25"
"219","4AbJT25"
"220","4AbJT26"
"221","4AbJT26"
"222","4AbJT26"
"223","4AbJT27"
"224","4AbJT27"
"225","4AbJT27"
"226","4AbJT28"
"227","4AbJT28"
"228","4AbJT28"
"229","4AbJT33"
"230","4AbJT33"
"231","4AbJT33"
"232","4AbJT34"
"233","4AbJT34"
"234","4AbJT34"
"235","4AbJT35"
"236","4AbJT35"
"237","4AbJT35"
"238","4AbJT36"
"239","4AbJT36"
"240","4AbJT36"
"241","4AbJT37"
"242","4AbJT37"
"243","4AbJT37"
"244","4AbJT38"
"245","4AbJT38"
"246","4AbJT38"
"247","4AbJT41"
"248","4AbJT41"
"249","4AbJT41"
"250","4AbJT42"
"251","4AbJT42"
"252","4AbJT42"
"253","4AbJT43"
"254","4AbJT43"
"255","4AbJT43"
"256","4AbJT44"
"257","4AbJT44"
"258","4AbJT44"
"259","4AbJT45"
"260","4AbJT45"
"261","4AbJT45"
"262","4AbJT46"
"263","4AbJT46"
"264","4AbJT46"
"265","4AbJT47"
"266","4AbJT47"
"267","4AbJT47"
"268","4AbJT48"
"269","4AbJT48"
"270","4AbJT48"
"271","4AbJT49"
"272","4AbJT49"
"273","4AbJT49"
"274","4AbJT50"
"275","4AbJT50"
"276","4AbJT50"
"277","4AbJT51"
"278","4AbJT51"
"279","4AbJT51"
"280","4AbJT52"
"281","4AbJT52"
"282","4AbJT52"
"283","4AbJT55"
"284","4AbJT55"
"285","4AbJT55"
"286","4AbJT56"
"287","4AbJT56"
"288","4AbJT56"
"289","4AbJT57"
"290","4AbJT57"
"291","4AbJT57"
"292","4AbJT58"
"293","4AbJT58"
"294","4AbJT58"
"295","4AbJT59"
"296","4AbJT59"
"297","4AbJT59"
"298","4AbJT60"
"299","4AbJT60"
"300","4AbJT60"
"301","4AbJT63"
"302","4AbJT63"
"303","4AbJT63"
"304","4AbJT64"
"305","4AbJT64"
"306","4AbJT64"
"307","4AbJT65"
"308","4AbJT65"
"309","4AbJT65"
"310","4AbJT66"
"311","4AbJT66"
"312","4AbJT66"
"313","4AbJT67"
"314","4AbJT67"
"315","4AbJT67"
"316","1AbJT1"
"317","1AbJT1"
"318","1AbJT1"
"319","1AbJT2"
"320","1AbJT2"
"321","1AbJT2"
"322","1AbJT3"
"323","1AbJT3"
"324","1AbJT3"
"325","1AbJT4"
"326","1AbJT4"
"327","1AbJT4"
"328","1AbJT5"
"329","1AbJT5"
"330","1AbJT5"
"331","1AbJT6"
"332","1AbJT6"
"333","1AbJT6"
"334","1AbJT7"
"335","1AbJT7"
"336","1AbJT7"
"337","1AbJT8"
"338","1AbJT8"
"339","1AbJT8"
"340","1AbJT9"
"341","1AbJT9"
"342","1AbJT9"
"343","1AbJT10"
"344","1AbJT10"
"345","1AbJT10"
"346","1AbJT13"
"347","1AbJT13"
"348","1AbJT13"
"349","1AbJT14"
"350","1AbJT14"
"351","1AbJT14"
"352","1AbJT17"
"353","1AbJT17"
"354","1AbJT17"
"355","1AbJT18"
"356","1AbJT18"
"357","1AbJT18"
